Date,temperature,anomoly
2/4/2023 18:00,13.171,0.1287
2/5/2023 0:00,12.721,0.181
2/5/2023 6:00,13.061,0.2753
2/5/2023 12:00,13.491,0.2302
2/5/2023 18:00,13.341,0.2879
2/6/2023 0:00,12.893,0.342
2/6/2023 6:00,13.153,0.3558
2/6/2023 12:00,13.619,0.3476
2/6/2023 18:00,13.383,0.321
2/7/2023 0:00,12.92,0.3599
2/7/2023 6:00,13.148,0.3367
2/7/2023 12:00,13.504,0.2206
2/7/2023 18:00,13.37,0.2947
2/8/2023 0:00,12.93,0.3576
2/8/2023 6:00,13.002,0.1803
2/8/2023 12:00,13.454,0.1602
2/8/2023 18:00,13.279,0.1941
2/9/2023 0:00,12.802,0.2198
2/9/2023 6:00,12.949,0.1157
2/9/2023 12:00,13.453,0.1485
2/9/2023 18:00,13.259,0.1614
2/10/2023 0:00,12.834,0.2406
2/10/2023 6:00,13.115,0.2673
2/10/2023 12:00,13.528,0.2108
2/10/2023 18:00,13.27,0.1566
2/11/2023 0:00,12.886,0.2773
2/11/2023 6:00,13.128,0.2637
2/11/2023 12:00,13.589,0.2565
2/11/2023 18:00,13.38,0.2489
2/12/2023 0:00,12.951,0.3249
2/12/2023 6:00,13.109,0.2264
2/12/2023 12:00,13.687,0.3367
2/12/2023 18:00,13.421,0.2726
2/13/2023 0:00,12.927,0.2848
2/13/2023 6:00,13.213,0.3111
2/13/2023 12:00,13.7,0.3321
2/13/2023 18:00,13.538,0.371
2/14/2023 0:00,12.98,0.3186
2/14/2023 6:00,13.251,0.3299
2/14/2023 12:00,13.668,0.2812
2/14/2023 18:00,13.336,0.1499
2/15/2023 0:00,12.909,0.2313
2/15/2023 6:00,13.07,0.1299
2/15/2023 12:00,13.483,0.0755
2/15/2023 18:00,13.227,0.0203
2/16/2023 0:00,12.849,0.1512
2/16/2023 6:00,13.034,0.075
2/16/2023 12:00,13.458,0.0287
2/16/2023 18:00,13.216,-0.0114
2/17/2023 0:00,12.72,0.0049
2/17/2023 6:00,13.048,0.0696
2/17/2023 12:00,13.397,-0.0536
2/17/2023 18:00,13.24,-0.0099
2/18/2023 0:00,12.824,0.0896
2/18/2023 6:00,12.98,-0.0154
2/18/2023 12:00,13.483,0.0114
2/18/2023 18:00,13.325,0.0548
2/19/2023 0:00,12.867,0.1133
2/19/2023 6:00,13.17,0.1542
2/19/2023 12:00,13.69,0.1978
2/19/2023 18:00,13.464,0.1752
2/20/2023 0:00,12.922,0.1523
2/20/2023 6:00,13.269,0.2349
2/20/2023 12:00,13.843,0.3337
2/20/2023 18:00,13.601,0.2963
2/21/2023 0:00,13.063,0.2766
2/21/2023 6:00,13.295,0.2428
2/21/2023 12:00,13.866,0.3382
2/21/2023 18:00,13.599,0.2781
2/22/2023 0:00,13.05,0.2481
2/22/2023 6:00,13.346,0.2773
2/22/2023 12:00,13.867,0.3217
2/22/2023 18:00,13.551,0.214
2/23/2023 0:00,12.953,0.137
